SAMPLE	BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	SAMPLE	LIBRARY	READ_GROUP
wes_11.sample_417	UTRs_norm	3101804739	49244280	49244280	1	90537210	90537210	87842214	1	0.970233	81920184	0.932583	8248884583	978823015	492605977	6777455591	978823015	0.178379	0.821621	0.665219	19.876888	20.559124	0.107042	0.107042	7.47425	0.093325	?	0.46086	0.23845	0.209503	0.188141	0.169003	0.150353	0.068134	118007010	-1	-1	-1	-1	-1	-1	0	0			
wes_11.sample_470	UTRs_norm	3101804739	49244280	49244280	1	71901098	71901098	69686836	1	0.969204	65263626	0.936527	6569652797	763787973	387533443	5418331381	763787973	0.175248	0.824752	0.663401	15.510187	16.165514	0.105176	0.105176	7.323	0.10942	?	0.419635	0.224138	0.193653	0.169442	0.14628	0.123547	0.043435	84773033	-1	-1	-1	-1	-1	-1	0	0			
wes_11.sample_48	UTRs_norm	3101804739	49244280	49244280	1	82431754	82431754	80069159	1	0.971339	74345224	0.928513	7450812698	886471630	449934274	6114406794	886471630	0.179364	0.820636	0.663325	18.001515	18.725256	0.106475	0.106475	7.494106	0.105027	?	0.434879	0.238434	0.207085	0.183245	0.161503	0.140012	0.056886	115806578	-1	-1	-1	-1	-1	-1	0	0			
wes_11.sample_50	UTRs_norm	3101804739	49244280	49244280	1	111321392	111321392	107017001	1	0.961334	100125130	0.9356	10084889658	1174094443	599061920	8311733295	1174094443	0.175823	0.824177	0.662149	23.84225	24.577627	0.104425	0.104425	7.33315	0.084068	?	0.501465	0.250789	0.222744	0.202162	0.184554	0.167873	0.089448	108141593	-1	-1	-1	-1	-1	-1	0	0			
wes_11.sample_524	UTRs_norm	3101804739	49244280	49244280	1	74815546	74815546	72722019	1	0.972017	67841565	0.932889	6827619815	799326525	405138106	5623155184	799326525	0.176411	0.823589	0.663636	16.231865	16.921913	0.105782	0.105782	7.374177	0.109701	?	0.418538	0.230622	0.198782	0.173815	0.150467	0.127866	0.046965	101046639	-1	-1	-1	-1	-1	-1	0	0			
wes_11.sample_54	UTRs_norm	3101804739	49244280	49244280	1	101363140	101363140	97579376	1	0.962671	90550683	0.927969	9078020737	1083865232	548125183	7446030322	1083865232	0.179774	0.820226	0.664137	22.009972	22.712964	0.10587	0.10587	7.520432	0.087681	?	0.477359	0.243571	0.21583	0.195561	0.177728	0.16061	0.080561	105246620	-1	-1	-1	-1	-1	-1	0	0			
wes_11.sample_561	UTRs_norm	3101804739	49244280	49244280	1	66064316	66064316	64255963	1	0.972627	60132393	0.935826	6052811913	708081741	361783998	4982946174	708081741	0.176755	0.823245	0.661842	14.378964	15.067482	0.106119	0.106119	7.368598	0.119829	?	0.402878	0.23223	0.19691	0.168075	0.140461	0.114184	0.034299	90137561	-1	-1	-1	-1	-1	-1	0	0			
wes_11.sample_564	UTRs_norm	3101804739	49244280	49244280	1	80731912	80731912	77929283	1	0.965285	71966407	0.923483	7203882212	878750585	445942066	5879189561	878750585	0.183886	0.816114	0.663362	17.844724	18.548235	0.10777	0.10777	7.683475	0.105309	?	0.426981	0.232123	0.203666	0.182056	0.161843	0.141601	0.057486	91825489	-1	-1	-1	-1	-1	-1	0	0			
wes_11.sample_75-16	UTRs_norm	3101804739	49244280	49244280	1	71010340	71010340	68883182	1	0.970044	64126469	0.930945	6444579624	776066190	391002324	5277511110	776066190	0.181093	0.818907	0.664971	15.759519	16.37363	0.108207	0.108207	7.585127	0.103511	?	0.422846	0.222945	0.194194	0.171938	0.150266	0.128023	0.045134	88771379	-1	-1	-1	-1	-1	-1	0	0			
wes_12.sample_544	UTRs_norm	3101804739	49244280	49244280	1	58283622	58283622	55764472	1	0.956778	50275045	0.90156	5057677088	668902371	338501546	4050273171	668902371	0.199183	0.800817	0.663986	13.583352	14.48407	0.11363	0.11363	8.330485	0.15026	?	0.341084	0.219065	0.182098	0.152605	0.125825	0.101679	0.034611	58990772	-1	-1	-1	-1	-1	-1	0	0			
wes_12.sample_554	UTRs_norm	3101804739	49244280	49244280	1	63983404	63983404	61068843	1	0.954448	55238400	0.904527	5555399098	721871710	365764238	4467763150	721871710	0.19578	0.80422	0.663707	14.658996	15.590284	0.111705	0.111705	8.184712	0.146233	?	0.351435	0.217541	0.182674	0.155943	0.132033	0.109997	0.041163	59958764	-1	-1	-1	-1	-1	-1	0	0			
wes_12.sample_558	UTRs_norm	3101804739	49244280	49244280	1	72145186	72145186	68215297	1	0.945528	61593614	0.90293	6193875297	787313765	400006380	5006555152	787313765	0.191693	0.808307	0.663101	15.987923	16.930133	0.108049	0.108049	8.006525	0.139213	?	0.365723	0.220815	0.18719	0.162053	0.139667	0.118859	0.04807	55205926	-1	-1	-1	-1	-1	-1	0	0			
wes_12.sample_565	UTRs_norm	3101804739	49244280	49244280	1	86032576	86032576	80539481	1	0.936151	72873572	0.904818	7332891184	918663155	469842173	5944385856	918663155	0.189353	0.810647	0.66162	18.655226	19.741246	0.105724	0.105724	7.89114	0.136503	?	0.375811	0.227344	0.193104	0.167664	0.146475	0.127944	0.061682	55191625	-1	-1	-1	-1	-1	-1	0	0			
wes_12.sample_570	UTRs_norm	3101804739	49244280	49244280	1	63895946	63895946	60209281	1	0.942302	54112748	0.898744	5445799422	732830178	372930020	4340039224	732830178	0.203048	0.796952	0.662739	14.881529	15.899524	0.113556	0.113556	8.476184	0.152398	?	0.338043	0.219331	0.18519	0.158631	0.134557	0.112242	0.042239	48716113	-1	-1	-1	-1	-1	-1	0	0			
wes_12.sample_578	UTRs_norm	3101804739	49244280	49244280	1	71928838	71928838	67789846	1	0.942457	61258496	0.903653	6155508752	813399099	406657092	4935452561	813399099	0.198206	0.801794	0.66669	16.517636	17.422672	0.111964	0.111964	8.323355	0.132351	?	0.365859	0.215256	0.185574	0.163438	0.143237	0.123795	0.052447	52366240	-1	-1	-1	-1	-1	-1	0	0			
wes_12.sample_579	UTRs_norm	3101804739	49244280	49244280	1	70939428	70939428	66002189	1	0.930402	59727794	0.904937	6007387866	761671524	388129486	4857586856	761671524	0.191398	0.808602	0.662438	15.467208	16.378509	0.106306	0.106306	7.98621	0.139329	?	0.359852	0.218943	0.186387	0.161251	0.138358	0.116793	0.045355	40370211	-1	-1	-1	-1	-1	-1	0	0			
wes_12.sample_580	UTRs_norm	3101804739	49244280	49244280	1	61764004	61764004	57840914	1	0.936483	52196942	0.902422	5247098296	678630141	342576272	4225891883	678630141	0.194623	0.805377	0.664538	13.780893	14.633745	0.108787	0.108787	8.146529	0.143779	?	0.349702	0.213517	0.178949	0.152165	0.127521	0.10485	0.036593	39102423	-1	-1	-1	-1	-1	-1	0	0			
wes_12.sample_581	UTRs_norm	3101804739	49244280	49244280	1	63246112	63246112	60738993	1	0.960359	55099744	0.907156	5544569769	709570148	359535791	4475463830	709570148	0.19282	0.80718	0.663704	14.409189	15.2993	0.111081	0.111081	8.060949	0.143208	?	0.354988	0.219025	0.183685	0.156184	0.131188	0.108057	0.039212	68329167	-1	-1	-1	-1	-1	-1	0	0			
wes_12.sample_582	UTRs_norm	3101804739	49244280	49244280	1	72044290	72044290	68403448	1	0.949464	61577258	0.900207	6192287685	801163438	407961718	4983162529	801163438	0.195263	0.804737	0.662598	16.269167	17.236975	0.110103	0.110103	8.149457	0.139561	?	0.363875	0.224316	0.190058	0.164328	0.141555	0.120471	0.04888	60629276	-1	-1	-1	-1	-1	-1	0	0			
wes_13.sample_13.merged	UTRs_norm	3101804739	49244280	49244280	1	34292810	34292810	31535945	1	0.919608	28288419	0.897021	4033102170	550315494	372144733	3110641943	550315494	0.228722	0.771278	0.596574	11.175217	12.074735	0.111796	0.111796	8.594709	0.165418	?	0.332203	0.206988	0.170265	0.136409	0.105669	0.080545	0.023234	20765479	-1	-1	-1	-1	-1	-1	0	0			
wes_13.sample_231-16.merged	UTRs_norm	3101804739	49244280	49244280	1	32938068	32938068	30761548	1	0.933921	27763675	0.902545	3997050610	534640548	368213849	3094196213	534640548	0.22588	0.77412	0.592167	10.856907	11.758744	0.111985	0.111985	8.425213	0.168302	?	0.329095	0.206874	0.168364	0.133004	0.101676	0.076819	0.021787	24613962	-1	-1	-1	-1	-1	-1	0	0			
wes_13.sample_232-16.merged	UTRs_norm	3101804739	49244280	49244280	1	35172296	35172296	32445572	1	0.922475	29207715	0.900207	4210552999	582395672	401183582	3226973745	582395672	0.233599	0.766401	0.592119	11.826666	12.802814	0.114075	0.114075	8.712397	0.169479	?	0.329389	0.21051	0.174424	0.141841	0.111861	0.086462	0.026552	22699460	-1	-1	-1	-1	-1	-1	0	0			
wes_13.sample_29.merged	UTRs_norm	3101804739	49244280	49244280	1	33383774	33383774	30741120	1	0.92084	27631945	0.898859	3973360031	523818848	358517714	3091023469	523818848	0.222063	0.777937	0.593672	10.637151	11.504195	0.108305	0.108305	8.303895	0.16846	?	0.332682	0.20664	0.167602	0.131697	0.099739	0.074817	0.020471	19795759	-1	-1	-1	-1	-1	-1	0	0			
wes_13.sample_30.merged	UTRs_norm	3101804739	49244280	49244280	1	38609594	38609594	35530660	1	0.920255	32073708	0.902705	4596364177	603385234	414259226	3578719717	603385234	0.221402	0.778598	0.592923	12.2529	13.205506	0.108269	0.108269	8.268732	0.162186	?	0.343037	0.210675	0.175543	0.144297	0.115259	0.090405	0.028754	22829371	-1	-1	-1	-1	-1	-1	0	0			
wes_13.sample_31.merged	UTRs_norm	3101804739	49244280	49244280	1	40872250	40872250	37749203	1	0.92359	33906166	0.898196	4841835194	633173973	429700541	3778960680	633173973	0.219519	0.780481	0.595718	12.857818	13.749007	0.10757	0.10757	8.23705	0.152067	?	0.359292	0.213538	0.179614	0.149394	0.120675	0.095422	0.031103	25065954	-1	-1	-1	-1	-1	-1	0	0			
wes_13.sample_32.merged	UTRs_norm	3101804739	49244280	49244280	1	35173224	35173224	32468680	1	0.923108	29079768	0.895625	4168180432	553725675	378823198	3235631559	553725675	0.22373	0.77627	0.593777	11.244467	12.152176	0.109011	0.109011	8.367714	0.1671	?	0.333797	0.208031	0.171002	0.137144	0.10591	0.08091	0.023639	21774269	-1	-1	-1	-1	-1	-1	0	0			
wes_13.sample_BR51.merged	UTRs_norm	3101804739	49244280	49244280	1	35095978	35095978	32501573	1	0.926077	29146857	0.896783	4204688366	556180527	384211891	3264295948	556180527	0.223653	0.776347	0.591435	11.294317	12.221522	0.109098	0.109098	8.331834	0.167498	?	0.3347	0.210228	0.172165	0.137428	0.105992	0.080552	0.023621	22861487	-1	-1	-1	-1	-1	-1	0	0			
wes_13.sample_BR52.merged	UTRs_norm	3101804739	49244280	49244280	1	37434708	37434708	34345365	1	0.917474	30758427	0.895563	4425280740	594009930	406653463	3424617347	594009930	0.226124	0.773876	0.593616	12.062516	12.993189	0.10944	0.10944	8.45496	0.161092	?	0.34062	0.21177	0.176261	0.143838	0.113587	0.088077	0.027283	21881459	-1	-1	-1	-1	-1	-1	0	0			
wes_13.sample_BR53.merged	UTRs_norm	3101804739	49244280	49244280	1	35017726	35017726	32070372	1	0.915833	28992802	0.904037	4200293984	560593866	389887480	3249812638	560593866	0.226289	0.773711	0.5898	11.383939	12.270925	0.109748	0.109748	8.406734	0.163214	?	0.338242	0.209723	0.17171	0.13748	0.106838	0.081759	0.024086	20203531	-1	-1	-1	-1	-1	-1	0	0			
wes_15.sample_14	UTRs_norm	3101804739	49244280	49244280	1	86458030	86458030	79949982	1	0.924726	73573024	0.920238	7831973738	1157526207	619753277	6054694254	1157526207	0.226926	0.773074	0.651291	23.5058	25.171234	0.125124	0.125124	9.309327	0.153849	?	0.338603	0.240457	0.214877	0.196511	0.180292	0.164267	0.088321	57279059	-1	-1	-1	-1	-1	-1	0	0			
wes_15.sample_15	UTRs_norm	3101804739	49244280	49244280	1	80646258	80646258	74410244	1	0.922674	68650498	0.922595	7306303345	1071027069	571045778	5664230498	1071027069	0.224747	0.775253	0.652241	21.749269	23.257288	0.124117	0.124117	9.233395	0.152141	?	0.338197	0.237254	0.211379	0.192449	0.175512	0.15843	0.079415	50824952	-1	-1	-1	-1	-1	-1	0	0			
